Clone name,Pod index,Yield ha,Yield tree
AM 1 [VEN],54.3,275,0.44
CBO 159 [VEN],27.6,1100,0.99
CBO 176 [VEN],24.2,1200,0.99
CBO 177 [VEN],22.7,700,1.07
CHO 163 [VEN],16.2,1200,1.00
CHO 163 [VEN],26.8,1000,0.87
CHO 174 [VEN],19.2,1200,0.94
CHO 24 [VEN],24.1,850,3.40
CHO 31 [VEN],28.6,750,0.61
CHO 41 [VEN],25.4,1000,0.50
CHU 2 [VEN],34.1,575,0.92
CLP 170 [VEN],28.6,1000,1.38
CUI 32 [VEN],16.4,1250,3.00
CUI 33 [VEN],17.2,1200,3.50
CUI 38 [VEN],15.1,1000,3.50
D 11 [VEN],-,1800,-
D 15 [VEN],-,1600,-
D 4 [VEN],-,1800,-
D 5 [VEN],-,1800,-
HAA 4 [VEN],-,1500,-
LC 165 [VEN],19.4,950,3.10
LC 168 [VEN],21.4,1300,2.80
LM 169 [VEN],12.0,900,1.44
LMR [VEN],26.0,625,1.00
LR 5 [VEN],19.0,328,0.52
LRR 3 [VEN],37.3,203,0.32
LRV 1 [VEN],50.0,63,0.10
LVL 2 [VEN],23.8,551,0.88
M 1 [VEN],-,1800,-
M 2 [VEN],-,1900,-
O 14 [VE2],-,1700,-
OC 60 [VEN],18.3,1300,4.00
OC 61 [VEN],16.5,1500,4.00
OC 73 [VEN],16.9,900,4.00
OC 77 [VEN],18.9,1200,4.00
PEN 158 [VEN],22.0,1400,1.71
PLAYA ALTA 1 [VEN],19.3,800,2.07
PLAYA ALTA 2 [VEN],21.3,800,2.10
PLAYA ALTA 3 [VEN],19.0,700,2.50
PLAYA ALTA 4 [VEN],15.4,950,2.54
PLAYA ALTA 5 [VEN],15.1,1000,2.90
PORCELANA 1,40.0,1000,0.70
PORCELANA 10,40.0,1200,0.80
PORCELANA 11,19.2,1200,1.21
PORCELANA 12,17.0,1200,3.00
PORCELANA 13,22.5,1200,0.09
PORCELANA 14,22.0,1200,0.27
PORCELANA 15,14.0,1200,0.35
PORCELANA 16,31.2,1200,1.61
PORCELANA 17,62.8,1200,0.12
PORCELANA 2,25.0,750,0.78
PORCELANA 21,28.5,700,1.12
PORCELANA 3,50.0,1200,1.00
PQTO 72 [VEN],23.8,850,2.60
PQTO 87 [VEN],23.8,700,2.10
SC 10 [VEN],16.2,1500,4.00
SC 12 [VEN],16.6,1000,3.00
SC 20 [VEN],10.2,700,3.20
SC 9 [VEN],16.6,1200,3.10
VILL 185 [VEN],27.8,950,0.55
